crn,subject,title,course_num,credits,section,campus,days,start_dates,end_dates,times,linked
82828,RCM,"Oral Rhetoric",401,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
81886,RCM,"Leadership as Communication",404,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1420'",""
83515,RCM,"Rhetorical Composition Writing for the Public",408,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1420'",""
90312,RCM,"Graduate Research Seminar",990,0.01,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
88773,RCM,"Research &ndash; Thesis",994,3,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
90924,RCM,"Research Dissertation",996,15,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
90204,SOTL,"Research Methods in the Scholarship of Teaching and Learning",801,3,W01,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
90205,SOTL,"Historical and Theoretical Foundations of the Scholarship of Teaching and Learning",802,3,W01,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
89654,SOTL,"Scholarship of Teaching and Learning SoTL Seminar",990,0.01,W01,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
90206,SOTL,"Research - Thesis",994,15,W01,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
81166,SCP,"Ethics in Counselling and School Psychology",810,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1700 - 2000'",""
82038,SCP,"Cognitive Affective Bases of Behaviour Assessing and Supporting Learning and Language Development",813,3,01," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1700 - 2000'",""
82039,SCP,"Social Bases of Behaviour Group Interventions in Schools and Communities",816,3,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1700 - 2000'",""
81184,SCP,"Practicum I",818,3,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1900 - 2200'",""
90117,SCP,"Seminar in School and Counselling Psychology and Professional Identity",990,0.01,W03,"Off-campus Site","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
81247,SCP,"Research &ndash; Thesis",994,15,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80958,VSAC,"Advanced Veterinary Internal Medicine",800,3,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
82222,VSAC,"Special Field Experiences",802,3,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
85049,VSAC,"Special Field Experiences",803,6,1," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
86813,VSAC,"Advanced Clinical Practice 1",820,2,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
87226,VSAC,"Advanced Clinical Practice 2",821,2,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
87607,VSAC,"Advanced Clinical Practice 3",822,2,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
87590,VSAC,"Clinical Practice Specialty Internship I",825,3,1," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
91835,VSAC,"Clinical Practice Specialty Internship II",826,None,01," USask - Main Saskatoon Campus","","","","",""
87604,VSAC,"Professional Development Skills",829,3,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1500 - 1700'",""
87591,VSAC,"Clinical Practice Rotating Internship I",831,3,1," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
90157,VSAC,"Clinical Practice Rotating Internship II",832,3,1," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
89737,VSAC,"Radiographic and Cross-Sectional Anatomy",834,3,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0800 - 1000'",""
81694,VSAC,"Clinical Practice",980,7.5,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
85098,VSAC,"Clinical Practice",980,15,03," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80962,VSAC,"Seminar",990,0.01,01," USask - Main Saskatoon Campus","'Friday'","'03-Sep-2025'","'05-Dec-2025'","'0800 - 0900'",""
82670,VSAC,"Research &ndash; Project",992,15,03," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80964,VSAC,"Research &ndash; Thesis",994,7.5,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'07-Apr-2026'","'None - None'",""
80957,VSAC,"Research &ndash; Thesis",994,15,03," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
88906,VSAC,"Research &ndash; Dissertation",996,15,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
82374,SOC,"Foundations in Sociology Society Structure Process",111,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1420'",""
82453,SOC,"Foundations in Sociology Society Structure Process",111,3,61," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'0830 - 0920'",""
82454,SOC,"Foundations in Sociology Society Structure Process",111,3,63," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
82456,SOC,"Foundations in Sociology Society Structure Process",111,3,65," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1020'",""
82488,SOC,"Foundations in Sociology Society Structure Process",111,3,97,"St. Peter&#39;s College","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1615 - 1905'",""
84893,SOC,"Foundations in Sociology Society Structure Process",111,3,C41,"Northlands College","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
89041,SOC,"Foundations in Sociology Society Structure Process",111,3,C43,"Northlands College","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
89042,SOC,"Foundations in Sociology Society Structure Process",111,3,C45,"Northlands College","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
89572,SOC,"Foundations in Sociology Society Structure Process",111,3,C47,"Northlands College","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
